a,b,c,abc
215,895,1,192425
153,429,7,459459
582,517,6,1805364
257,138,4,141864
770,990,7,5336100
441,886,4,1562904
650,850,3,1657500
433,373,1,161509
695,128,3,266880
627,817,9,4610331
329,114,2,75012
811,821,1,665831
892,657,6,3516264
742,489,8,2902704
779,330,11,2827770
176,726,10,1277760
380,807,3,919980
291,978,2,569196
598,369,1,220662
304,181,5,275120
336,324,10,1088640
517,526,11,2991362
240,856,2,410880
332,442,4,586976
389,840,5,1633800
196,445,1,87220
903,668,9,5428836
101,110,10,111100
892,861,1,768012
218,839,11,2011922
699,137,4,383052
143,421,2,120406
590,194,6,686760
563,381,11,2359533
796,911,2,1450312
348,751,1,261348
741,817,10,6053970
157,957,11,1652739
324,973,5,1576260
782,446,9,3138948
950,220,11,2299000
501,891,5,2231955
974,587,2,1143476
483,459,9,1995273
308,357,2,219912
866,325,1,281450
995,177,11,1937265
610,502,4,1224880
187,700,7,916300
195,621,4,484380
288,620,6,1071360
381,531,7,1416177
764,453,6,2076552
282,858,10,2419560
589,660,5,1943700
635,825,9,4714875
713,746,7,3723286
621,109,5,338445
651,718,10,4674180
255,974,4,993480
356,966,8,2751168
610,814,4,1986160
473,359,2,339614
106,273,7,202566
518,213,3,331002
710,257,8,1459760
895,821,2,1469590
116,767,4,355888
149,295,10,439550
691,613,1,423583
251,878,4,881512
827,705,2,1166070
652,394,3,770664
496,286,7,992992
916,726,10,6650160
743,984,2,1462224
944,319,7,2107952
945,451,4,1704780
324,712,4,922752
930,882,2,1640520
364,992,4,1444352
475,614,5,1458250
753,942,2,1418652
936,886,4,3317184
349,271,9,851211
149,303,2,90294
757,179,6,813018
405,463,11,2062665
330,790,7,1824900
497,331,2,329014
272,188,8,409088
418,671,7,1963346
289,485,8,1121320
691,637,1,440167
647,180,1,116460
247,318,3,235638
186,193,6,215388
663,476,6,1893528
210,668,3,420840
367,301,1,110467
189,834,5,788130
111,613,8,544344
504,843,1,424872
553,167,10,923510
306,446,11,1501236
250,511,3,383250
329,420,5,690900
759,636,10,4827240
362,838,6,1820136
951,150,1,142650
104,463,3,144456
488,412,5,1005280
732,521,11,4195092
935,522,4,1952280
433,812,9,3164364
157,651,3,306621
574,249,5,714630
258,466,7,841596
797,294,3,702954
996,191,10,1902360
176,232,5,204160
530,158,6,502440
290,983,11,3135770
283,511,3,433839
980,886,6,5209680
838,950,8,6368800
195,409,3,239265
288,667,7,1344672
111,102,1,11322
419,699,8,2343048
635,305,11,2130425
593,667,7,2768717
371,398,2,295316
492,913,3,1347588
246,516,2,253872
281,623,4,700252
121,785,10,949850
352,592,4,833536
708,502,5,1777080
263,911,8,1916744
445,160,1,71200
316,711,10,2246760
362,417,11,1660494
559,864,5,2414880
303,555,6,1008990
913,651,6,3566178
298,799,5,1190510
679,210,6,855540
944,496,9,4214016
471,854,4,1608936
717,842,4,2414856
869,405,8,2815560
724,153,3,332316
863,100,2,172600
289,630,9,1638630
338,527,3,534378
106,413,10,437780
859,722,7,4341386
738,783,10,5778540
220,600,7,924000
569,353,9,1807713
681,886,3,1810098
375,664,9,2241000
829,429,3,1066923
741,528,5,1956240
979,369,2,722502
138,307,9,381294
378,966,9,3286332
815,255,11,2286075
625,109,5,340625
367,312,8,916032
883,716,7,4425596
914,345,5,1576650
577,988,7,3990532
628,805,7,3538780
757,670,1,507190
440,620,3,818400
560,297,7,1164240
964,911,1,878204
444,608,11,2969472
551,229,4,504716
384,524,8,1609728
861,250,6,1291500
171,267,6,273942
997,284,1,283148
718,844,7,4241944
891,119,1,106029
348,765,9,2395980
249,216,6,322704
904,668,10,6038720
312,735,4,917280
368,129,9,427248
634,138,5,437460
945,816,9,6940080
295,283,6,500910
957,243,8,1860408
896,881,6,4736256
906,179,4,648696
582,385,3,672210
798,325,6,1556100
241,404,7,681548
403,493,3,596037
683,785,8,4289240
941,503,1,473323
431,413,7,1246021
769,571,11,4830089
882,580,11,5627160
769,382,5,1468790
205,738,3,453870
621,190,4,471960
362,984,4,1424832
420,806,4,1354080
199,956,5,951220
662,253,3,502458
777,275,11,2350425
733,307,9,2025279
760,230,1,174800
708,936,4,2650752
855,927,1,792585
500,936,4,1872000
259,660,10,1709400
854,420,9,3228120
871,433,10,3771430
244,262,8,511424
954,887,3,2538594
492,347,6,1024344
513,488,9,2253096
827,892,5,3688420
914,191,5,872870
417,986,6,2466972
904,508,2,918464
757,369,9,2513997
112,149,8,133504
697,837,2,1166778
387,491,7,1330119
907,463,6,2519646
621,217,3,404271
270,480,9,1166400
149,389,10,579610
340,621,1,211140
971,915,1,888465
907,887,8,6436072
540,763,8,3296160
971,777,11,8299137
846,496,7,2937312
541,376,9,1830744
633,461,2,583626
286,180,9,463320
393,621,2,488106
620,567,6,2109240
571,532,6,1822632
500,816,3,1224000
218,566,4,493552
713,940,6,4021320
619,416,5,1287520
718,840,5,3015600
398,661,4,1052312
328,676,6,1330368
822,418,10,3435960
444,963,5,2137860
583,993,11,6368109
737,709,9,4702797
615,303,4,745380
333,654,5,1088910
525,375,7,1378125
373,583,2,434918
596,728,3,1301664
132,707,3,279972
176,191,7,235312
869,372,3,969804
325,709,6,1382550
271,967,4,1048228
465,984,10,4575600
547,401,7,1535429
828,347,11,3160476
588,562,9,2974104
633,979,10,6197070
334,908,2,606544
370,168,3,186480
606,196,7,831432
856,409,6,2100624
914,902,9,7419852
769,107,4,329132
795,569,10,4523550
205,816,3,501840
661,373,3,739659
680,546,8,2970240
635,692,3,1318260
853,610,10,5203300
983,977,2,1920782
903,165,3,446985
615,749,5,2303175
519,631,2,654978
183,326,4,238632
284,495,11,1546380
439,958,3,1261686
907,354,10,3210780
112,876,3,294336
536,140,3,225120
421,432,5,909360
344,864,11,3269376
576,938,4,2161152
328,907,5,1487480
217,816,4,708288
907,300,7,1904700
636,646,11,4519416
393,868,2,682248
664,408,8,2167296
789,431,11,3740649
931,463,2,862106
415,240,6,597600
155,516,4,319920
479,636,5,1523220
752,374,3,843744
758,564,11,4702632
960,431,11,4551360
556,493,8,2192864
821,896,2,1471232
645,603,9,3500415
405,298,11,1327590
260,478,10,1242800
509,148,3,225996
807,494,11,4385238
243,106,8,206064
998,623,3,1865262
615,112,5,344400
935,250,9,2103750
199,783,11,1713987
334,398,1,132932
983,210,7,1445010
369,520,1,191880
596,802,3,1433976
349,188,5,328060
212,482,6,613104
411,160,9,591840
620,424,8,2103040
974,600,4,2337600
803,604,2,970024
130,354,8,368160
989,586,2,1159108
270,325,4,351000
733,815,2,1194790
329,857,10,2819530
645,606,5,1954350
200,229,8,366400
237,385,4,364980
881,520,6,2748720
110,855,4,376200
896,998,2,1788416
160,895,5,716000
695,689,3,1436565
560,543,3,912240
451,853,11,4231733
247,737,8,1456312
505,990,2,999900
987,509,7,3516681
204,981,10,2001240
285,295,7,588525
513,651,10,3339630
559,558,9,2807298
215,882,8,1517040
136,282,3,115056
811,870,8,5644560
939,328,3,923976
788,966,2,1522416
695,649,9,4059495
809,772,7,4371836
814,819,9,5999994
977,610,7,4171790
191,211,1,40301
791,860,1,680260
510,429,6,1312740
467,462,9,1941786
843,853,1,719079
150,917,2,275100
553,149,6,494382
211,331,11,768251
879,919,10,8078010
341,667,7,1592129
354,960,5,1699200
112,440,5,246400
461,715,9,2966535
642,409,3,787734
358,373,5,667670
939,937,10,8798430
736,887,1,652832
213,464,9,889488
990,821,10,8127900
700,203,8,1136800
800,275,6,1320000
593,191,10,1132630
775,404,4,1252400
487,442,1,215254
639,968,4,2474208
541,984,8,4258752
421,146,10,614660
142,995,7,989030
875,898,4,3143000
498,756,9,3388392
579,667,4,1544772
929,471,5,2187795
814,234,8,1523808
238,921,7,1534386
638,525,8,2679600
620,954,10,5914800
958,749,6,4305252
238,293,1,69734
345,672,4,927360
231,982,11,2495262
128,582,1,74496
601,930,4,2235720
620,478,8,2370880
418,490,6,1228920
828,931,2,1541736
315,337,11,1167705
536,882,6,2836512
732,668,7,3422832
824,840,10,6921600
908,537,9,4388364
376,854,7,2247728
968,922,11,9817456
164,157,5,128740
663,220,5,729300
780,101,8,630240
576,907,6,3134592
288,244,7,491904
351,591,3,622323
533,808,8,3445312
661,324,6,1284984
272,348,1,94656
554,733,5,2030410
987,585,5,2886975
462,140,2,129360
372,164,2,122016
371,615,2,456330
111,457,11,557997
462,285,11,1448370
255,509,11,1427745
802,309,2,495636
343,551,1,188993
879,832,6,4387968
509,707,9,3238767
152,574,3,261744
458,193,11,972334
515,339,8,1396680
519,927,3,1443339
977,795,10,7767150
110,764,5,420200
837,962,9,7246746
496,226,7,784672
827,559,4,1849172
399,935,5,1865325
997,653,2,1302082
102,250,7,178500
822,793,4,2607384
168,798,8,1072512
334,751,3,752502
531,321,9,1534059
752,255,5,958800
261,776,9,1822824
608,322,2,391552
150,569,1,85350
475,952,2,904400
466,693,10,3229380
591,205,5,605775
504,931,9,4223016
543,181,8,786264
104,724,8,602368
625,695,9,3909375
167,460,5,384100
830,471,9,3518370
187,279,2,104346
277,592,1,163984
220,453,3,298980
721,924,1,666204
787,519,9,3676077
366,679,6,1491084
431,288,8,993024
672,690,8,3709440
275,928,2,510400
819,363,8,2378376
953,451,1,429803
425,887,6,2261850
178,375,9,600750
113,903,4,408156
225,768,4,691200
735,123,5,452025
688,353,9,2185776
368,359,7,924784
751,325,6,1464450
595,959,10,5706050
598,383,8,1832272
143,241,9,310167
834,840,7,4903920
711,174,6,742284
251,619,1,155369
584,433,1,252872
975,527,7,3596775
436,847,10,3692920
440,106,1,46640
241,450,9,976050
762,397,6,1815084
431,553,6,1430058
579,604,11,3846876
688,537,9,3325104
826,544,6,2696064
802,472,2,757088
132,882,6,698544
973,932,4,3627344
412,764,10,3147680
880,756,6,3991680
455,620,11,3103100
913,393,4,1435236
939,652,7,4285596
798,286,1,228228
280,875,10,2450000
308,998,4,1229536
507,161,2,163254
432,677,8,2339712
436,577,3,754716
602,457,5,1375570
746,326,3,729588
493,488,7,1684088
505,757,5,1911425
873,590,6,3090420
839,960,9,7248960
976,979,4,3822016
637,601,4,1531348
371,224,1,83104
842,550,11,5094100
369,913,2,673794
934,740,10,6911600
669,877,7,4106991
758,158,5,598820
506,751,8,3040048
204,332,3,203184
411,759,5,1559745
982,553,11,5973506
629,306,11,2117214
171,810,11,1523610
584,689,8,3219008
983,136,7,935816
435,239,11,1143615
850,548,4,1863200
149,676,8,805792
829,890,1,737810
176,247,11,478192
801,391,5,1565955
701,378,10,2649780
501,552,3,829656
310,434,1,134540
975,484,7,3303300
808,690,1,557520
128,247,1,31616
493,547,9,2427039
699,760,8,4249920
751,877,4,2634508
436,408,1,177888
359,277,11,1093873
570,487,1,277590
865,487,9,3791295
754,916,4,2762656
691,744,7,3598728
714,635,8,3627120
130,101,10,131300
843,115,8,775560
467,860,9,3614580
194,244,11,520696
792,805,3,1912680
682,855,11,6414210
303,633,10,1917990
531,420,3,669060
208,455,1,94640
592,527,4,1247936
881,306,1,269586
348,410,4,570720
656,607,10,3981920
258,686,2,353976
328,313,6,615984
313,218,5,341170
735,923,7,4748835
518,929,1,481222
254,867,8,1761744
408,135,1,55080
446,555,7,1732710
600,923,3,1661400
726,892,8,5180736
847,220,1,186340
205,299,4,245180
931,629,4,2342396
636,142,1,90312
492,881,9,3901068
180,515,11,1019700
720,876,11,6937920
821,210,8,1379280
722,998,3,2161668
392,764,8,2395904
483,345,6,999810
667,896,7,4183424
297,780,1,231660
686,921,3,1895418
384,430,3,495360
857,228,1,195396
256,261,5,334080
160,167,10,267200
944,209,11,2170256
770,681,4,2097480
272,920,6,1501440
456,246,1,112176
853,164,10,1398920
778,716,4,2228192
444,259,1,114996
325,955,6,1862250
554,992,5,2747840
582,623,3,1087758
141,484,10,682440
308,540,2,332640
520,938,9,4389840
645,987,11,7002765
998,450,5,2245500
631,949,9,5389371
336,675,5,1134000
270,698,1,188460
697,597,5,2080545
460,920,4,1692800
140,772,3,324240
288,492,9,1275264
677,202,9,1230786
295,232,4,273760
671,931,4,2498804
655,820,5,2685500
365,165,10,602250
660,496,10,3273600
613,351,5,1075815
627,587,10,3680490
165,491,5,405075
883,706,10,6233980
634,453,7,2010414
400,767,5,1534000
530,526,1,278780
585,300,11,1930500
746,685,3,1533030
124,151,9,168516
319,411,10,1311090
868,560,2,972160
583,716,1,417428
584,693,11,4451832
719,183,9,1184193
558,955,3,1598670
909,581,4,2112516
673,728,7,3429608
336,607,8,1631616
242,834,5,1009140
316,904,10,2856640
601,621,9,3358989
895,968,4,3465440
662,432,3,857952
415,679,3,845355
319,367,7,819511
127,477,11,666369
896,508,11,5006848
395,752,6,1782240
892,113,1,100796
837,179,9,1348407
958,332,2,636112
310,491,7,1065470
580,316,1,183280
325,397,11,1419275
161,159,7,179193
575,644,4,1481200
491,221,5,542555
976,489,6,2863584
746,279,1,208134
735,869,10,6387150
704,639,9,4048704
858,837,2,1436292
655,483,5,1581825
907,734,5,3328690
741,229,1,169689
837,548,4,1834704
182,282,4,205296
455,855,3,1167075
799,314,8,2007088
229,363,3,249381
974,214,11,2292796
236,757,10,1786520
708,341,4,965712
122,843,1,102846
512,824,3,1265664
504,769,1,387576
574,735,6,2531340
263,282,11,815826
376,543,4,816672
925,151,10,1396750
712,215,10,1530800
649,245,3,477015
274,829,11,2498606
108,153,5,82620
471,605,3,854865
667,722,11,5297314
865,867,1,749955
803,507,1,407121
754,750,2,1131000
566,312,3,529776
550,899,9,4450050
107,767,4,328276
890,946,9,7577460
618,405,10,2502900
254,297,10,754380
447,884,1,395148
536,262,2,280864
194,512,10,993280
857,181,3,465351
505,925,8,3737000
754,986,11,8177884
140,286,9,360360
734,348,9,2298888
791,821,3,1948233
788,465,8,2931360
874,989,2,1728772
434,806,8,2798432
366,615,10,2250900
618,957,1,591426
961,643,3,1853769
176,597,9,945648
381,613,6,1401318
304,674,4,819584
866,103,6,535188
258,131,3,101394
284,758,1,215272
211,273,4,230412
684,358,6,1469232
843,896,6,4531968
766,699,3,1606302
594,247,1,146718
393,503,11,2174469
478,301,7,1007146
332,326,5,541160
132,626,11,908952
454,816,10,3704640
383,250,6,574500
980,108,2,211680
756,944,8,5709312
119,970,11,1269730
957,307,11,3231789
247,986,1,243542
897,551,1,494247
669,534,4,1428984
373,369,3,412911
869,381,7,2317623
364,477,7,1215396
516,914,3,1414872
888,533,5,2366520
343,842,9,2599254
900,344,8,2476800
409,804,1,328836
614,216,10,1326240
969,303,2,587214
639,384,10,2453760
292,776,9,2039328
808,898,9,6530256
278,876,10,2435280
262,501,11,1443882
194,952,3,554064
555,443,2,491730
999,303,8,2421576
101,728,9,661752
627,194,9,1094742
145,401,6,348870
230,824,7,1326640
284,707,5,1003940
779,637,10,4962230
528,414,5,1092960
451,628,1,283228
577,843,4,1945644
539,369,2,397782
389,871,7,2371733
190,210,3,119700
440,378,11,1829520
159,731,2,232458
685,263,7,1261085
142,567,3,241542
620,162,10,1004400
361,674,5,1216570
176,934,2,328768
507,696,5,1764360
933,595,2,1110270
341,941,5,1604405
194,406,2,157528
583,540,3,944460
668,553,10,3694040
221,668,2,295256
302,997,7,2107658
926,399,1,369474
886,818,3,2174244
609,533,6,1947582
906,961,4,3482664
810,800,2,1296000
338,927,2,626652
885,820,7,5079900
343,158,5,270970
694,662,9,4134852
289,374,5,540430
348,494,1,171912
381,501,3,572643
873,656,2,1145376
842,857,8,5772752
762,393,1,299466
243,846,8,1644624
213,251,11,588093
110,244,1,26840
784,904,8,5669888
604,823,1,497092
473,231,4,437052
232,367,3,255432
169,240,4,162240
246,630,6,929880
610,311,2,379420
553,334,2,369404
834,977,11,8962998
462,809,7,2616306
555,695,10,3857250
423,373,9,1420011
187,579,9,974457
360,817,7,2058840
439,484,11,2337236
536,644,8,2761472
936,535,7,3505320
784,358,9,2526048
381,623,9,2136267
165,577,8,761640
496,166,4,329344
873,794,5,3465810
644,341,9,1976436
280,474,11,1459920
628,231,4,580272
234,325,3,228150
404,416,5,840320
724,792,9,5160672
666,590,3,1178820
563,578,3,976242
904,346,3,938352
486,697,6,2032452
345,697,8,1923720
116,866,3,301368
399,312,11,1369368
977,546,4,2133768
513,704,6,2166912
181,905,1,163805
815,968,10,7889200
393,541,1,212613
585,190,2,222300
942,662,5,3118020
949,600,2,1138800
678,702,10,4759560
799,758,4,2422568
902,978,1,882156
748,364,11,2994992
286,435,5,622050
597,931,2,1111614
299,453,9,1219023
713,964,3,2061996
562,718,4,1614064
296,105,6,186480
818,484,9,3563208
887,803,8,5698088
103,357,7,257397
862,256,6,1324032
727,201,6,876762
821,967,10,7939070
774,359,7,1945062
714,799,1,570486
590,744,7,3072720
325,369,8,959400
279,212,2,118296
745,846,5,3151350
221,519,7,802893
584,317,11,2036408
730,321,8,1874640
956,237,4,906288
891,433,4,1543212
330,504,4,665280
123,907,1,111561
713,253,8,1443112
130,443,5,287950
317,499,4,632732
899,668,11,6605852
410,698,5,1430900
240,389,10,933600
630,569,11,3943170
844,576,10,4861440
302,513,6,929556
544,161,4,350336
925,117,6,649350
367,822,11,3318414
460,890,11,4503400
677,893,6,3627366
826,645,5,2663850
639,945,11,6642405
342,378,4,517104
121,788,5,476740
495,741,4,1467180
196,393,5,385140
437,630,10,2753100
194,715,10,1387100
667,461,6,1844922
497,600,1,298200
160,100,10,160000
968,244,9,2125728
782,701,7,3837274
402,944,11,4174368
339,304,4,412224
262,824,5,1079440
771,825,1,636075
374,884,4,1322464
343,214,2,146804
392,735,4,1152480
352,502,11,1943744
361,117,9,380133
319,981,5,1564695
335,470,3,472350
250,467,8,934000
999,181,4,723276
762,106,7,565404
295,820,8,1935200
496,521,4,1033664
741,608,11,4955808
744,488,10,3630720
887,937,7,5817833
568,236,6,804288
708,341,4,965712
328,689,3,677976
343,246,9,759402
311,659,9,1844541
510,860,2,877200
726,801,4,2326104
142,216,6,184032
230,110,1,25300
203,652,7,926492
745,269,3,601215
379,764,2,579112
498,249,11,1364022
681,190,11,1423290
679,752,6,3063648
991,668,9,5957892
812,414,6,2017008
195,723,1,140985
521,819,1,426699
637,444,3,848484
692,398,6,1652496
443,248,9,988776
929,764,8,5678048
153,326,3,149634
382,782,3,896172
998,219,2,437124
519,210,5,544950
358,156,4,223392
702,820,9,5180760
910,402,11,4024020
692,589,1,407588
204,930,2,379440
450,932,11,4613400
523,720,11,4142160
496,355,8,1408640
214,343,11,807422
274,501,11,1510014
265,517,8,1096040
775,344,3,799800
790,917,7,5071010
670,214,6,860280
689,701,5,2414945
346,477,10,1650420
666,818,7,3813516
822,926,11,8372892
529,637,6,2021838
937,103,7,675577
833,369,4,1229508
933,932,1,869556
262,496,10,1299520
117,569,8,532584
730,471,2,687660
171,768,10,1313280
460,373,4,686320
995,168,2,334320
835,508,6,2545080
977,809,6,4742358
613,853,10,5228890
484,765,4,1481040
400,110,7,308000
257,965,9,2232045
758,178,10,1349240
712,683,5,2431480
272,165,7,314160
402,256,4,411648
975,993,11,10649925
447,941,6,2523762
499,673,6,2014962
312,649,7,1417416
580,901,2,1045160
156,278,8,346944
865,286,7,1731730
611,570,3,1044810
650,275,6,1072500
926,922,11,9391492
225,808,11,1999800
504,176,8,709632
718,775,5,2782250
269,858,10,2308020
472,705,1,332760
298,695,11,2278210
932,533,6,2980536
844,766,7,4525528
645,215,6,832050
810,274,8,1775520
391,918,2,717876
472,526,7,1737904
690,652,11,4948680
458,574,1,262892
944,835,9,7094160
570,610,9,3129300
959,928,10,8899520
853,365,5,1556725
590,231,7,954030
245,522,2,255780
496,274,5,679520
209,130,9,244530
198,168,3,99792
306,133,1,40698
206,983,8,1619984
551,893,6,2952258
406,371,4,602504
626,174,9,980316
944,609,7,4024272
771,504,8,3108672
259,993,6,1543122
244,355,3,259860
394,450,9,1595700
470,955,1,448850
132,176,5,116160
829,282,10,2337780
165,791,2,261030
956,617,3,1769556
549,891,11,5380749
925,164,7,1061900
558,121,9,607662
128,518,10,663040
183,213,8,311832
379,792,3,900504
657,454,5,1491390
767,322,2,493948
701,134,4,375736
103,985,5,507275
187,760,6,852720
653,784,9,4607568
899,787,9,6367617
308,774,10,2383920
338,813,7,1923558
232,517,7,839608
954,383,11,4019202
888,236,4,838272
508,523,4,1062736
209,832,1,173888
176,376,9,595584
196,371,10,727160
127,935,4,474980
912,702,1,640224
236,923,6,1306968
836,724,11,6657904
659,119,8,627368
355,365,10,1295750
892,730,7,4558120
156,574,8,716352
305,652,9,1789740
404,100,10,404000
291,613,5,891915
526,692,9,3275928
402,892,1,358584
249,439,1,109311
731,152,11,1222232
115,296,10,340400
704,782,4,2202112
408,995,10,4059600
673,827,7,3895997
480,780,4,1497600
268,427,3,343308
156,747,5,582660
261,339,10,884790
705,462,11,3582810
201,275,10,552750
803,742,4,2383304
891,751,7,4683987
349,117,9,367497
600,504,6,1814400
716,979,6,4205784
572,228,5,652080
800,739,10,5912000
460,551,4,1013840
224,393,2,176064
761,154,8,937552
904,338,7,2138864
649,492,7,2235156
917,968,4,3550624
312,804,6,1505088
181,744,10,1346640
237,828,8,1569888
871,189,5,823095
322,263,8,677488
516,935,5,2412300
562,477,9,2412666
889,209,7,1300607
694,686,4,1904336
570,761,10,4337700
190,528,1,100320
976,919,7,6278608
837,186,10,1556820
745,800,10,5960000
486,364,3,530712
141,844,7,833028
289,831,1,240159
271,949,2,514358
641,575,2,737150
851,469,3,1197357
805,510,2,821100
611,446,7,1907542
342,208,7,497952
136,891,10,1211760
442,835,2,738140
701,895,9,5646555
590,601,4,1418360
187,387,11,796059
286,391,1,111826
608,517,10,3143360
662,621,6,2466612
791,553,10,4374230
282,812,4,915936
505,654,3,990810
147,983,5,722505
659,863,11,6255887
639,459,8,2346408
678,758,3,1541772
932,489,3,1367244
507,718,10,3640260
840,239,5,1003800
709,670,11,5225330
733,393,5,1440345
542,257,11,1532234
979,374,11,4027606
973,824,11,8819272
801,267,7,1497069
975,511,4,1992900
352,124,3,130944
811,843,2,1367346
784,717,8,4497024
357,522,5,931770
285,518,3,442890
398,855,8,2722320
577,979,4,2259532
168,492,2,165312
566,496,1,280736
963,268,4,1032336
477,483,6,1382346
843,604,4,2036688
140,880,3,369600
395,131,5,258725
398,112,10,445760
565,574,7,2270170
788,225,7,1241100
602,479,10,2883580
661,318,9,1891782
933,443,6,2479914
262,143,4,149864
240,976,7,1639680
123,604,3,222876
139,806,1,112034
487,927,9,4063041
813,732,9,5356044
840,349,7,2052120
645,256,11,1816320
159,549,10,872910
291,563,4,655332
418,770,11,3540460
534,449,10,2397660
468,198,2,185328
872,920,2,1604480
365,868,4,1267280
808,546,9,3970512
884,136,11,1322464
884,704,1,622336
957,842,8,6446352
473,287,9,1221759
542,615,8,2666640
703,972,6,4099896
228,981,9,2013012
214,174,4,148944
517,846,6,2624292
295,853,6,1509810
823,331,7,1906891
468,636,5,1488240
190,978,9,1672380
804,492,7,2768976
791,203,10,1605730
700,658,4,1842400
347,609,8,1690584
675,893,2,1205550
595,833,5,2478175
367,831,6,1829862
463,218,4,403736
633,368,8,1863552
107,447,5,239145
801,136,7,762552
199,123,11,269247
208,646,8,1074944
253,580,2,293480
659,177,2,233286
211,589,1,124279
156,518,2,161616
383,623,3,715827
967,991,2,1916594
338,686,2,463736
722,911,1,657742
141,632,8,712896
369,517,6,1144638
819,280,3,687960
759,997,5,3783615
589,598,6,2113332
877,734,10,6437180
919,628,4,2308528
654,612,4,1600992
554,888,11,5411472
487,296,8,1153216
273,274,11,822822
312,208,11,713856
416,813,5,1691040
310,875,3,813750
871,240,10,2090400
243,587,10,1426410
400,606,5,1212000
598,359,4,858728
394,153,6,361692
379,147,7,389991
359,143,6,308022
660,576,4,1520640
147,896,3,395136
266,684,5,909720
581,968,4,2249632
724,430,10,3113200
124,541,3,201252
525,699,9,3302775
694,180,4,499680
222,594,10,1318680
424,233,7,691544
723,470,8,2718480
115,872,4,401120
218,348,10,758640
952,400,7,2665600
370,896,4,1326080
747,844,3,1891404
196,626,7,858872
989,401,7,2776123
794,218,5,865460
373,194,11,795982
668,914,9,5494968
562,672,1,377664
739,637,11,5178173
473,256,5,605440
862,475,3,1228350
958,450,5,2155500
842,524,2,882416
329,316,6,623784
545,973,8,4242280
986,153,7,1056006
166,977,10,1621820
326,712,2,464224
401,774,1,310374
638,662,11,4645916
267,424,10,1132080
238,636,9,1362312
355,714,10,2534700
891,467,4,1664388
353,602,1,212506
838,903,8,6053712
774,152,10,1176480
152,235,2,71440
256,928,11,2613248
506,967,5,2446510
462,239,2,220836
644,644,4,1658944
663,342,6,1360476
342,644,10,2202480
532,589,2,626696
232,785,5,910600
175,207,10,362250
383,708,1,271164
427,334,1,142618
704,600,2,844800
866,886,4,3069104
323,865,1,279395
136,869,10,1181840
672,714,10,4798080
416,534,5,1110720
121,431,6,312906
407,243,6,593406
525,758,5,1989750
194,725,4,562600
757,272,5,1029520
800,153,11,1346400
876,241,9,1900044
858,477,10,4092660
764,385,3,882420
982,167,11,1803934
700,415,8,2324000
376,810,10,3045600
371,710,8,2107280
691,624,5,2155920
815,733,9,5376555
996,107,8,852576
551,483,5,1330665
991,492,5,2437860
456,483,3,660744
520,754,1,392080
770,947,6,4375140
459,511,11,2580039
707,340,8,1923040
551,815,9,4041585
694,731,3,1521942
158,614,8,776096
423,734,2,620964
811,904,8,5865152
758,549,8,3329136
887,306,8,2171376
527,380,8,1602080
678,932,7,4423272
418,102,4,170544
419,581,4,973756
304,957,4,1163712
362,403,1,145886
449,146,8,524432
728,335,5,1219400
956,505,11,5310580
412,672,6,1661184
803,618,10,4962540
907,617,10,5596190
449,306,6,824364
981,555,9,4900095
749,909,6,4085046
221,395,6,523770
963,431,3,1245159
209,290,1,60610
316,871,8,2201888
324,151,6,293544
513,854,3,1314306
885,239,9,1903635
312,526,4,656448
569,395,10,2247550
415,408,6,1015920
454,610,5,1384700
980,152,9,1340640
156,144,5,112320
546,207,3,339066
289,212,2,122536
843,431,3,1089999
334,537,9,1614222
184,872,8,1283584
253,555,2,280830
450,699,2,629100
349,840,6,1758960
547,515,9,2535345
994,974,7,6777092
665,837,2,1113210
599,793,6,2850042
748,518,3,1162392
666,765,5,2547450
598,741,2,886236
672,533,11,3939936
350,405,6,850500
989,850,8,6725200
190,541,11,1130690
228,116,7,185136
977,352,5,1719520
106,996,1,105576
191,339,9,582741
767,185,11,1560845
461,592,10,2729120
931,771,10,7178010
610,344,10,2098400
497,447,3,666477
348,969,4,1348848
460,544,5,1251200
905,995,10,9004750
584,765,4,1787040
918,917,1,841806
453,784,8,2841216
249,532,7,927276
696,643,1,447528
780,170,3,397800
149,260,1,38740
770,339,7,1827210
535,352,7,1318240
958,160,2,306560
281,410,11,1267310
746,682,5,2543860
258,164,5,211560
723,561,10,4056030
715,410,4,1172600
515,926,5,2384450
378,109,2,82404
752,410,3,924960
867,361,8,2503896
807,753,8,4861368
855,116,7,694260
554,223,9,1111878
421,489,8,1646952
259,825,5,1068375
540,165,5,445500
849,449,11,4193211
202,826,4,667408
619,569,1,352211
293,486,2,284796
722,741,10,5350020
487,179,8,697384
787,463,11,4008191
191,103,7,137711
422,195,4,329160
644,554,8,2854208
953,398,10,3792940
234,573,2,268164
740,598,5,2212600
536,371,7,1391992
696,977,6,4079952
806,550,9,3989700
852,383,6,1957896
892,902,8,6436672
732,310,4,907680
313,370,8,926480
443,381,11,1856613
300,495,10,1485000
668,687,7,3212412
592,675,6,2397600
115,133,2,30590
754,376,4,1134016
456,492,11,2467872
199,711,11,1556379
294,959,6,1691676
805,997,2,1605170
107,863,4,369364
320,393,3,377280
609,257,6,939078
635,977,8,4963160
537,820,11,4843740
949,641,4,2433236
373,200,8,596800
851,741,9,5675319
820,104,9,767520
414,832,8,2755584
312,499,9,1401192
349,818,9,2569338
953,108,10,1029240
261,587,9,1378863
538,840,8,3615360
