a,b,c,d,exp
882.61,401.51,877.58,428.98,1549576.049
192.7,455.38,497.53,623.27,285292.6609
629.4,242.3,160.92,928.65,422968.2564
424.91,972.32,182.23,815.28,214571.561
576.89,309.97,758.28,921.37,908712.0005
688,767.35,113.85,884.25,487190.0725
849.49,859.38,994.87,413.16,1711812.737
591.74,939,195.47,341.26,388706.0085
557.98,813.47,596.83,630.53,668178.2593
331.6,346.09,456.61,904.44,319355.6921
172.72,715.57,417,601.23,204322.4284
216.37,595.56,335.19,355.57,159523.883
379.22,163.55,377.88,985.9,287587.0028
499.39,220.76,375.51,240.29,390638.4222
972.92,624.15,890.34,897.33,1740175.972
575.14,858.87,137.38,328.01,349987.294
361.56,824,458.5,975.33,341923.2136
409.28,991.86,768.27,364.34,758113.2513
828.98,475.77,487.8,849.42,926006.1004
249.7,141.25,516.18,190.38,328982.2624
666.93,389.98,762.34,265.78,1026223.681
848.04,570.26,639.95,401.83,1129109.674
884.57,449.07,647.85,947.05,1203120.757
872.95,258.29,588.19,840.36,1108849.539
910.18,777.32,479.39,300.26,1058542.665
449.25,287.41,370.9,545.95,339938.3225
607.81,130.92,803.92,195.06,1015915.423
817.69,451.27,753.76,436.89,1237207.964
495.43,153.66,630.56,834.73,643891.5285
945.88,286.98,653.24,365.65,1321777.122
753.43,947.27,816.23,817.06,1234705.238
152.74,744.15,232.49,682.73,78063.8377
913.2,728.52,305.37,966.72,928151.7969
899.74,569.62,900.18,429.13,1620285.23
751.34,314.6,806.55,540.35,1215575.048
481.28,457.13,107.31,637.94,243783.8145
516.44,599.22,201.63,666.58,308031.5105
436.49,950.2,463.98,991.11,406792.0705
493.34,789.97,832.67,545.54,937269.2245
338.65,601.41,276.09,335.39,191244.9006
191.67,454.17,118.61,960.78,51766.501
395.75,380,341.3,695.67,273799.4225
249.74,555.21,936.75,315.69,940186.3201
563.22,486.48,997.26,744.82,1312489.096
163.73,950.3,617.69,861.09,409209.539
289.86,784.71,512.17,933.32,347270.2485
225.18,748.54,933.48,677.4,922768.3428
186.73,296.48,565.44,445.71,355036.1965
377.02,241.42,393.91,694.79,298003.9585
430.77,502.04,783.73,313.92,800109.4258
215.46,384.78,209.72,942.88,91348.37
670.74,515.32,158.36,169.23,475139.2672
455.02,852.95,559.84,550.17,521014.196
139.08,818.69,457.42,366.31,228942.6128
932.73,653.26,739.72,536.69,1417707.621
922.67,451,537.92,196.83,1140874.685
410.83,700.31,999.59,610.42,1168571.877
349.35,704.09,412.73,509.1,292900.5754
209.86,363.44,521.62,636.94,316765.584
150.28,604.87,708.01,546.88,524409.1185
310.17,511.56,656.87,760.36,528443.9858
774.02,334.35,969.46,508.32,1539467.972
186.06,303.26,809.37,643.51,690341.6305
322.99,596.23,278.1,339.1,182001.2501
863.85,228.72,685.94,134.57,1216885.076
121.47,919.4,879.93,934.25,789966.0158
509.58,830.9,719,242.18,776874.9564
588.19,634.89,947.06,607.06,1243497.18
920.32,478.45,897.24,423.19,1652451.71
103.88,840.41,604.17,748.31,376560.7533
624.68,979.76,174.08,897.33,421426.2788
339.48,155.67,898.05,891.89,922632.3629
130.69,233.01,161.64,382.47,43589.8357
580.82,711.7,728.88,981.55,869599.4768
187.67,816.04,417.04,314.37,209456.7605
749.28,299.93,899.59,834.23,1371516.917
693.8,411.66,599.34,387.17,840954.0456
342.48,852.43,664.25,592.78,559113.3929
407.82,451.92,827.32,227.24,851002.7748
214.79,227.69,178.63,337.01,78380.431
753.38,605.25,445.47,485.9,766510.8453
294.59,905.58,993.11,557.23,1073607.97
697.36,890.34,110.96,227.21,498850.3012
761.59,508.86,447.01,246.78,780084.0482
184.88,168.42,975.38,589.04,986135.7988
668,754.5,151.35,170.9,469301.7225
755.05,638.96,333.38,403.22,681645.9469
368.99,225.84,146.51,704.72,158323.5202
658.8,963.55,344.29,585.59,553138.6341
629.93,270.39,824.51,266.11,1076894.655
821.74,719.62,698.75,134.98,1163643.17
526.62,176.7,553.94,316.74,584494.888
569.27,962.3,746.5,923.7,882254.2829
110.19,398.34,751.52,769.91,577694.0565
185.09,987.49,686.01,208.45,505076.4782
115.86,174.9,141.04,380.28,33696.1012
131.84,139.89,125.76,395.89,33593.2532
492.69,666.32,835.01,773.04,940758.1762
626.03,469.48,719.78,323.19,910319.9993
919.52,798,640.13,768.35,1256051.797
215.85,770.23,525.54,786.73,323570.2441
609.13,523.56,299.2,741.93,461301.9269
905.51,261.37,865.91,927.21,1570675.698
243.3,169.62,993.75,435.22,1047169.173
699.28,535.34,406.65,262.64,654619.3809
762.18,392.07,799.12,977.82,1220488.947
500.04,660.33,253.22,731.71,314892.08
110.35,250.68,282.59,493.29,92527.5206
504.02,363.26,378.37,775.77,397975.7873
963.23,117.2,318.69,847.9,1030223.249
138.66,747.5,243.93,859.74,79588.1805
184.83,908.31,307.6,777.15,129557.0389
811.46,411.28,699.03,830.36,1147940.633
597.66,587.14,985.32,386.25,1328439.228
122.06,965.16,708.08,285.25,516561.18
159.32,406.38,728.11,645.77,556172.8045
438.49,450.38,958.39,105.87,1110890.742
395.2,893.39,909.92,466.51,984603.9564
457.36,665.54,117.04,292.5,223169.0312
874.98,483.59,540.39,895.92,1058507.273
880.91,709.72,872.37,182.55,1537214.395
687.84,238.99,399.21,576.02,633068.5097
216.4,933.24,425.7,645.43,228694.88
185.72,853.6,600.44,989.54,396009.652
373.91,779.86,602.89,901.56,504186.6002
197.24,407.32,787.84,200.69,659796.1732
322.65,867.59,765.1,503.87,689984.9025
144.56,432.67,345.9,524.17,141068.5736
941.74,467.85,135.68,327.12,905610.41
377.86,526.55,790.75,158.76,768222.5021
288.76,325.67,910.21,209.59,912074.1717
471.21,845,942.12,543.5,1110172.459
938.03,144.55,868.76,160.78,1634804.999
345.89,474.26,570.54,224.84,445380.6237
980.46,364.3,244.35,589.49,1021598.224
979.77,235.46,478.69,198.31,1189291.679
745.77,272.59,966.41,265.1,1490386.281
130.13,927.34,230.3,909.99,70881.8969
449.01,345.24,906.19,240.49,1023030.786
385.91,276.22,814,354.27,811876.7981
708.66,427.39,150.23,228.53,524996.5785
812.49,932.05,298.32,907.29,750042.1125
177.73,777.61,213.8,358.08,77656.4729
930.83,940.29,874.64,420.89,1631860.509
438.18,236.85,241.8,673.86,251142.8124
263.2,233.36,565.3,890.59,389728.92
579.56,431.16,662.93,768.6,776134.5785
480.17,782.79,997.18,717.16,1225648.341
927.05,229.93,396.69,844.89,1017629.549
462.57,402.87,333.02,935.21,325808.5353
325.32,102.45,506.76,939.09,363577.89
241.53,402.45,434.08,323.3,247085.4873
807.17,572.53,926.33,829.04,1510439.718
662.64,841.63,345.89,707.23,559438.8917
298.12,609.2,822.61,480.25,766042.9965
418.56,357.82,878.33,329.74,946985.8025
499.99,614.62,527.67,513.67,528939.299
385.13,730.95,877.4,199.18,918355.0569
531.52,370.36,618.88,612.01,666137.9748
907.43,656.88,730.8,820.81,1358318.655
896.15,434.99,796.99,108.51,1438386.393
657.8,103.36,234.16,429.32,487961.0656
484.6,912.32,805.84,207.97,884423.2356
268.33,419.71,525.8,374.69,348841.3189
938.69,248.26,279.42,943.48,960157.9325
398.19,729.11,373.24,477.79,298341.1637
452.13,109.31,414.33,105.03,376195.9158
675.83,496.09,400.77,639.99,618002.7718
249.68,965.03,686.47,931.07,534512.2333
760.65,658.17,425.53,108.8,759773.0034
549.08,177.07,839.57,199.91,1006566.541
538.16,965.23,442.52,150.75,485590.886
290.5,946.66,871.39,986.5,844697.2821
437.41,435.43,968.74,859.77,1130644.466
521.89,924.61,313.21,736.17,371205.8462
137.73,122.99,595.64,313.79,374070.3525
829.41,854.97,690.65,768.24,1165686.611
152.02,100.17,866.3,556.86,774142.6304
652.83,729.95,887.24,999.7,1214381.527
128.59,764.69,819.9,729.98,689501.3781
765.79,750.27,140.06,111.33,606162.4577
184.61,330.42,893.91,360.32,833516.2602
969.91,915.67,126.21,768.41,957422.7822
601.38,184.03,822.24,726.83,1038463.352
717.68,832.48,281.95,738.01,595298.3949
356.61,429.67,106.65,604.44,139149.3546
846.93,656.21,671.81,950.18,1169569.281
905.01,288.67,192.03,271.49,856190.111
356.7,583.39,941.7,173.37,1014207.15
564.82,359.39,571.1,738.06,645914.9024
698.64,448,104.44,427.16,499432.7232
832.86,311.46,649.26,580.35,1115774.677
206.04,665.51,443.26,240.76,239172.6692
741.22,261.42,963.27,988.35,1478284.531
486.2,776.09,128.25,592.74,253431.2425
640.02,899.51,328.49,366.72,517898.0005
159.29,561.83,901.75,844.44,839370.8066
275.01,807.78,485.96,847.26,312634.8817
353.24,305.53,188.68,244.03,160622.67
822.61,195.93,259.76,962.27,745124.7397
880.09,749.57,569.89,689.55,1100022.57
718.6,528.24,883.22,856.95,1297320.478
849.62,990.48,306.65,811.31,816699.6769
206.89,353.1,421.19,270.15,220474.6382
419.6,332.16,335.29,658.22,289141.7641
228.36,400.04,310.55,876.95,149466.5421
920.51,621.98,370.85,359.99,985228.3726
612.6,218.45,752.61,314.39,942014.9621
652.24,656.56,514.92,852.23,691411.854
850.93,423.6,226.84,864.01,776402.2605
495.35,719.92,637.24,478.66,651925.1001
652.16,561.33,584.12,778.15,767286.99
542.48,215.31,655.39,930.76,724751.3625
830.07,174.32,601.16,255.25,1050664.801
653.91,168.97,346.84,788.18,548684.4537
141.37,624.22,845.6,203.45,735228.2869
814.28,874.68,875.64,558.41,1430355.738
267.15,566.77,212.51,114.27,116643.8926
837.24,644.52,129.8,450.39,718269.2476
763.97,395.84,722.43,256.21,1105811.476
252.98,945.19,713.75,144.19,573582.1329
780.1,779.01,861.58,205.04,1351081.146
329.66,887.92,317.9,949.97,210686.0956
279.98,242.83,548.22,658.22,379592.1888
766.14,481.88,143.15,204.87,607667.2921
818.61,806.34,289.73,914.84,754980.645
798.17,353.24,811.05,917.09,1295794.541
305.78,253.63,693.9,710.55,575709.1684
498.71,271.96,426.11,574.8,430856.1962
215.17,726.55,115.03,132.13,59662.1598
754.12,365.92,191.99,170.15,605727.2845
479.09,555.55,383.82,726.83,377571.8505
223.02,472.33,532.33,946.33,334059.4793
188.02,904.28,447.22,366.21,235723.4588
557.8,649.86,409.77,756.32,479808.6129
974.94,878.33,205.89,223.43,993122.1257
393.49,596.38,714.18,728.71,665616.1625
584.82,324.2,153.94,832.28,366544.236
704.41,941.12,207.34,654.65,539837.9737
168.47,708.16,808.77,592.91,683083.9638
561.63,232.44,931.61,917.07,1184242.519
330.77,719.81,221.42,938.53,159374.1393
924.84,328.6,365.2,771.93,989471.9956
149.42,263.95,936.01,512.56,898953.6165
687.37,593.93,546.46,139.61,771235.6585
592.34,573.56,758.13,199.39,925827.1625
366.26,812.25,567.75,823.31,457309.7601
296.39,261.76,409.53,849.93,256411.783
755.4,202.55,217.94,240.06,618367.0636
308.02,853.19,600.12,801.48,455821.8148
849.71,872.73,505.21,920.7,978164.9282
564.4,383.37,839.61,336,1023828.312
125.86,531.98,819.94,178.73,688321.0732
792.12,881.33,803.13,739.04,1273210.931
697.81,605.29,659.09,173.99,921512.4142
970.7,126.09,981.25,479.33,1905589.383
954.42,114.89,892.33,596.98,1707767.345
775.11,189.01,551,931.89,905328.4021
831.66,747.18,418.63,133.97,867043.4025
432.05,407.23,811.35,913.25,845869.275
152.94,186.15,586.3,585.86,367724.1936
584.21,753.65,379.36,389.46,485604.7937
215.73,527.16,978.7,762.32,1005155.443
251.23,985.26,492.2,359.11,305736.4629
307.18,321.97,516.35,333.41,361310.2849
523.37,660.31,358.02,625.78,402720.2573
551.03,766.38,913.62,861.8,1139197.365
577.27,159.95,578.33,222.23,667928.4718
850.19,575,606.1,360.81,1090541.056
608.29,492.96,984.92,575.98,1340660.111
690.09,527.9,984.92,175.28,1446466.895
918.32,242.61,849.31,604.65,1565243.749
796.54,684.19,543.88,379.31,930660.736
477.25,677.34,564.3,599.62,546801.6725
938.26,781.48,211.47,136.06,925187.4485
346.3,180.91,454.09,582,326703.4181
573.76,352.14,747.16,428.65,887877.2532
636.93,955.22,612.7,221.41,781302.5249
879.37,960.16,878.64,414.47,1545714.317
195.17,992.81,410.61,681.84,207373.741
974.05,122.7,720.61,574.08,1468626.255
918.03,984.76,591.15,675.95,1192913.353
819.78,879.28,848.9,172.83,1392843.288
451.72,306.67,535.1,630.75,491013.7184
563.12,331.02,887.59,564.92,1105485.063
625.63,829.34,756.34,155.57,963618.6625
785.03,278.87,330.61,201.16,725776.233
582.27,266.15,635.06,670.86,743010.4165
254.96,965.49,217.71,880.78,113283.0257
341.63,977.45,150.05,428.22,139654.2794
208.13,334.89,870.29,689.44,801412.221
775.23,652.25,892.95,102.74,1398443.995
365.62,297.25,737.42,909.43,678375.6708
986.59,182.94,231.77,434.34,1027511.501
687.93,705.93,879.52,661.92,1247465.035
207.95,236.7,518.77,298.24,312663.7554
479.44,729.7,797.1,820.04,866051.1636
657.27,418.25,463.05,449.94,646869.0954
155.9,538.51,719.41,571.54,542427.0981
359.7,395.51,270.3,994.73,203440.91
201.12,886.19,117.21,143.03,54330.4685
970.61,327.3,986.64,690.43,1916232.692
230.8,394.35,440.3,736.93,247869.66
495.04,453.87,794.25,388.7,876286.3641
865.6,669.23,573.35,769.57,1078763.153
578.62,873.2,149.92,314.49,357591.6008
341.55,734.62,378.5,312,260230.6525
635.83,585.09,923.17,347.48,1256870.118
664.76,751.17,214.1,237.27,487981.9376
449.35,305.61,241.84,987.37,261389.3781
546.48,890.76,266.3,938.71,370494.7904
894.6,641.39,321.9,519.85,904448.62
868.48,338.38,192.34,343.16,791595.346
707.85,740.89,685.22,143.94,970722.0109
950.35,207.24,444.88,499.57,1101582.907
701.75,750.5,745.8,261.87,1048932.573
840.25,285.85,698.04,852.55,1194132.454
501.16,539.69,463.69,172.93,466342.6917
789.9,699.81,294.76,215.37,711040.8376
783.33,560.78,550.23,144.06,916503.0018
287.12,244.04,627.74,935.54,477430.942
158.68,565.07,180.08,808.67,58416.8188
615.07,246.35,787.46,350.78,998755.1365
446.35,245.45,128.88,209.51,216047.8869
261.99,682.8,953.93,435.41,979056.615
461.19,423.69,796.97,580.69,848438.087
910.12,979.54,250.67,320.18,891474.0433
797.13,704.65,966.37,410.81,1569698.024
439.43,949.36,452.39,404.02,398159.457
621.51,895.3,798.25,582.98,1024060.723
668.22,639.17,197.51,954.36,486482.5285
140.39,746.34,752.44,110.07,585985.3757
784.98,724.97,383.4,952.73,764141.8904
804.86,131.29,656.67,157.61,1079172.719
797,529.6,907.08,701.66,1458704.786
529.74,691.78,932.43,786.66,1150836.833
494.05,427.12,281.94,361.52,323937.0861
530.39,303.33,685.42,890.82,752004.9485
620.51,781.19,951.44,695.16,1290965.894
647.06,627.52,229.57,447.89,471836.9185
628.19,263.1,949.8,169.48,1296912.196
908.4,336.59,709.79,214.14,1329206.544
881.9,597.17,768.78,543.66,1369313.958
751.26,816.77,611.04,676.44,938437.9092
715.6,439.4,146.04,310.34,533721.3816
694.11,115.15,906.47,520.37,1303996.923
365.13,268.01,203.96,769.72,175689.3185
420.15,416.72,285.04,672.83,258446.6541
184.79,459.99,602.22,875.24,397691.5125
653.34,431.6,640.85,775.49,838317.3681
703.85,335.84,308.57,804.42,591424.6874
432.3,880.88,933.39,361.58,1058461.762
993.07,116.48,715.83,731.02,1499331.634
253.01,913.58,669.99,620.22,513520.8802
736.47,500.55,156.58,263.2,567168.5573
432.62,742.77,363.63,106.74,319493.5813
899.32,104.91,444.59,280.15,1006716.881
455.44,935.12,686.3,898.94,679332.2236
533.92,435.66,526.7,469.94,562953.3964
949.52,991.13,916.47,297.57,1741803.061
941.08,175.24,422.85,935.32,1065369.009
389.14,186.02,765.8,780.37,738659.9496
365.54,671.51,929.19,887.87,997901.4177
592.79,256.7,787.3,594.75,971836.0241
658.94,966.84,153.54,351.15,458127.6052
344.87,253.5,139.86,394.55,138890.6865
543.23,447.87,419.05,377.01,471078.7454
827.3,825.72,687.38,428.06,1157344.614
544.31,526.03,268.02,335.59,368443.6865
819.04,930.2,281.31,146.49,750108.3277
265.49,425.45,895.91,270.39,873410.0582
383.37,686.75,104.3,128.96,157980.0069
124.55,584.9,350.44,878.74,139199.6361
176.18,311.49,715.3,820.03,543513.5124
743.5,940.44,539.4,762.14,844506.75
709.07,560.5,231.41,794.78,557125.633
187.5,198.31,273.73,316.06,110400.4229
513.31,679.24,229.63,272.8,316489.893
661.71,279.84,144.04,102.45,458710.0957
250.09,196.89,425.39,277.8,243779.4602
313.48,112.77,800.18,977.59,739535.3328
935.19,241.08,635.9,795.18,1279744.326
611.79,636.24,245.43,660.84,435183.729
897.11,906.97,999.65,580.11,1804686.585
203.31,622.93,912.76,754.42,875220.1937
125.98,589.2,387.47,835.79,166839.7513
334.71,166.55,449.65,772.28,314988.1866
593.29,585.36,597.92,691.37,710192.7205
720.3,455.58,682.4,936.13,985437.98
395.42,538.95,429.42,758.66,341517.1728
662.96,621.05,734.05,343.74,978689.1041
333.7,525.67,808.31,599.83,765320.5761
832.96,124.3,477.42,474.97,922227.188
168.35,429.63,783.01,122.3,641568.6826
663.93,844.68,405.16,520.21,605477.8805
671.89,820.65,402.1,737.48,613858.0621
424.19,989.7,567,368.27,501794.4261
169.86,824.11,309.72,734.26,125513.158
381.05,357.36,104.62,740.12,156884.5669
826.73,982.08,395.03,399.29,839930.4838
211.67,655.09,776.34,420.77,647928.7545
895.83,362.76,664.36,738.8,1244624.399
962.96,198.96,629.25,153.15,1323400.674
819.12,156.52,929.19,914.27,1535265.901
650.51,906.23,878.24,964.91,1195433.668
325.77,693.03,295.21,784.44,194059.477
463.08,742.38,573.07,951.72,543804.0313
321.04,859.62,936.29,625.74,980331.3857
286.51,446.55,703.45,236.2,577166.0826
122.42,228.24,490.22,138.86,255441.1648
874.04,321.19,396.76,623.84,921988.2592
346.84,427,708.5,535.13,622805.3656
493.29,205.16,397.73,572.51,402096.687
182.81,686.96,689.44,689.45,509436.4597
421.64,591.14,268.39,955.61,250769.0917
289.67,653.81,719.87,904.61,603026.1358
866.78,422.95,469.07,731.5,972065.7333
173.16,158.54,653.09,120.44,456631.3737
735.34,907.83,141.5,257.38,561004.5456
898.85,306.87,804.33,515.53,1455393.601
337,678.21,840.55,666.16,820759.4625
848.25,311.22,124.96,869.36,736012.4241
977.51,413.28,174.53,437.54,986424.061
315.14,953.36,975.02,429.8,1050407.02
611.46,415.19,214.91,317.1,420386.7397
321.51,742.5,847.38,873.79,822295.3345
858.32,148.83,130.14,886.07,754535.712
318.03,866.47,517.75,787.98,369996.1234
595.47,103.61,791.67,394.46,981720.3698
369.3,907.31,741.33,789.97,686742.6289
968.78,829.84,872.97,117.5,1700728.809
565.44,400.04,803.19,601.9,965438.4697
903.37,986.13,320.68,401.73,919314.7493
626.57,941.77,868.89,415.91,1147975.707
166.88,852.13,617.2,965,409749.7744
663.59,154.68,996.99,545.28,1434886.028
579.13,222.64,941.8,379.14,1222757.937
287.52,172.29,279.88,483.05,161483.6148
342.39,309.94,152.8,263.71,140842.4621
928.75,117.39,515.67,670.01,1129162.121
519.9,172.18,701.1,651.57,762488.79
634.07,527.29,430.19,432.34,587540.541
780.91,188.27,537.08,385.49,898660.8445
259.28,979.48,848.81,488.61,788193.1445
979.21,776.88,541.52,760.67,1252856.805
424.26,281.22,661.63,714.92,618465.7245
343.58,536.19,227.79,949.31,170884.8105
394.91,715.99,782.91,468.18,769370.1562
367.49,602.04,542.71,114.83,429697.8742
889.55,332.95,430.35,789.41,977289.735
717.25,978.07,607.32,239.04,883524.1849
392.91,764.74,540.97,167.62,447194.429
725.83,336.35,113.26,924,540581.0165
635.77,389.16,746.42,160.04,961506.3493
565.6,315.89,160.88,422.53,346208.2644
953.86,142.17,907.43,522.48,1733800.585
722.13,961.61,486.98,517.41,759138.6673
606.48,340.02,330.04,862.02,477606.412
832.8,975.76,792.87,913.94,1323112.617
785.04,522.09,749.16,463.99,1177992.497
201.37,875.63,649.45,261.19,462596.3694
412.39,540.82,442.97,302.04,366589.973
107.67,712.11,524.22,418.02,286817.4573
909.71,180.35,542.87,588.9,1122869.021
235.18,235.05,408.62,420.96,222700.8968
476.99,663.69,456.71,506.39,436609.8742
498.29,142.23,707.49,483.78,749318.8042
319.25,147.28,430.17,753.08,287719.8714
684.78,819.29,915.04,230.5,1306452.35
496.89,932.19,106.46,838.96,259072.3637
278.28,630.01,317.67,991.29,179345.2773
860.64,305.15,939.14,856.89,1623542.039
933.15,784.44,347.37,841.93,992276.7694
598.85,644.64,846.58,668.84,1075987.859
214.74,522.13,944.89,530.4,939460.7797
664.95,115.36,441.31,732.58,637645.5986
558.9,620.1,117.15,394.48,326487.8125
188.07,359.66,491.01,529.9,276991.045
116.96,653.73,647.99,499.39,434070.0717
186.34,902.2,178.84,207.64,66913.9812
423.65,534,812.3,441.07,839751.6825
745.34,154.85,181.09,554.39,588879.6937
903.29,853.43,907.15,393.24,1639247.187
363.62,277.43,864.03,946.65,879713.9953
852.24,287.08,639.93,629.37,1136452.793
944.44,836.84,598.86,978.21,1251578.423
543.36,698.09,452.47,813.24,500782.4305
789.26,804.11,167.24,241.4,651141.9652
180.8,350.85,788.41,613.53,654892.4981
122.72,208.34,609.19,254.38,386427.0345
502.23,606.48,716.6,814.86,766565.3929
912.7,577.56,482.56,911.27,1066796.714
853.48,195.89,914.72,649.57,1565790.359
250.98,535.56,382.23,530.82,209621.5533
439.01,199.14,937.42,823.68,1072309.717
651.73,652.79,633.01,563.84,826017.493
262.04,218.14,228.93,150.28,121224.1865
998.01,418.68,612.29,207.15,1371130.154
704.14,193.43,169.08,830.19,525231.376
595.09,981,931.79,770.66,1223135.372
667.9,261.2,719.94,989.61,965393.6236
160.19,187.67,948.61,695.85,926217.6182
324.73,186.5,914.44,839.69,942489.7765
627.83,516.03,375.87,622.38,536071.1458
339.59,106.77,702.62,474.17,609470.4025
162.36,845.77,628.69,552.86,422164.7457
419.74,914.64,920.2,334.64,1023284.348
529.61,639.63,763.87,154.59,864138.719
603.48,774.35,121.15,921.51,379786.9429
768.27,559.32,419,453.04,766252.8329
135.15,233.32,599.91,640.69,378798.2206
265.37,136.29,353.26,620.28,195834.1445
259.52,627.97,167.06,640.41,95900.084
671.22,554.57,569.81,147.19,775366.9145
707.06,938.81,189.78,619,536569.292
985.73,294.35,235.23,938.57,1027935.356
966.83,172.89,751.55,647.61,1500235.261
992.97,945.23,408.49,854.23,1153707.731
399.65,782.37,858.53,475.2,897269.0834
296.2,239.06,671.18,103.22,538320.2524
954.23,512.73,200.92,988.64,951912.3793
219.7,739.62,768.58,685.19,639668.4964
673.95,567.02,528.21,499.3,733713.7066
975.83,560.07,686.22,377.44,1423519.517
190.42,203.67,604.88,809.64,402949.2308
572.63,605.69,608.77,562.18,699068.2098
109.76,968.76,721.08,928.07,532931.694
343.65,761.03,460,264.93,329960.2525
996.87,632.57,673.22,381.3,1447356.265
561.73,798.59,339.73,918.27,431875.3358
138.44,719.28,436.33,228.95,209778.4525
832.64,621.33,389.1,417.13,845105.3096
748.47,872.66,219.04,568.22,608754.0825
941.52,300.07,796.02,547.62,1520655.371
803.29,588.35,560.54,947.74,960427.6557
616.19,450.41,779.03,511.07,987088.927
884.04,211.05,772.72,564.63,1379187.55
481.93,852.9,730.54,371.36,766316.5765
538.78,915.08,232.44,352.24,344664.482
561.91,962.53,291.46,415.09,401106.8697
665.42,804.74,705.47,265.27,940736.9673
486.7,465.07,514.91,886.59,502895.7881
817.09,612.6,704.74,927.83,1165222.366
515.72,365.04,796.61,311.55,900866.1605
924.87,218.31,480.18,184.11,1086141.459
526.62,159.81,227.43,421.79,329474.8193
727.34,415.41,514.69,558.42,794487.6917
588.59,841.69,906.66,633.62,1169104.164
561.87,915.58,249.9,389.41,378537.3169
710.46,452.26,936.14,412.63,1381524.141
475.47,214.75,125.89,907.82,242827.833
480.22,202.84,803.08,428.37,875977.1048
845.72,812.34,421.36,424.49,893211.058
575.31,223.65,522.69,259.42,604445.8522
746.29,266.33,523.83,406,831752.633
569.83,329.09,523.85,270.52,599395.5714
167.41,915.84,524.53,111.87,303269.699
926.21,802.71,735.26,289.39,1398761.622
456.95,451.01,549.05,520.36,510779.565
651.38,750.47,145.46,244.28,445698.796
840.48,437.94,179.52,213.05,738847.1108
636.74,120.8,551.41,502.01,709992.8257
104.84,668.92,305.1,842.5,104919.9356
667.66,536.9,303.4,754.64,538576.0756
847.54,100.04,251.16,718.57,782123.9672
686.73,623.54,120.81,467.39,486660.539
699.72,924.17,345.2,159.85,608930.9684
833.81,281.29,290.15,431.48,779857.6186
818.28,416.87,942.9,395.13,1559037.698
630.41,943.4,223.39,404.54,447724.4002
543.27,667.17,599.17,392.28,654539.2618
507.29,316.74,903.9,846.16,1075224.514
746.73,461.49,953.36,398.3,1466899.283
523.38,991.82,197.41,959.92,313857.2525
280.11,761.26,982.96,747.39,1045419.364
862.14,182.78,373.75,667.54,883641.9821
751.77,760.34,164.58,403.58,592648.2893
249.8,989.43,283.03,118,142624.0209
321.02,962.66,830.95,915.01,794446.7529
409.89,480.98,416.41,995.45,342402.5502
639.54,807.31,118.67,686.09,423780.0705
527.67,959.97,409.85,151.71,446564.3614
327.7,211.29,212.78,428.85,153091.4684
597.29,899.46,452.32,375.65,561724.3765
683.64,407.81,600.76,689.64,828965.8672
790.4,326.46,312.87,518.82,723138.6169
682.42,358.93,970.09,385.04,1407156.705
915.26,433.9,817.28,347.95,1505995.416
910.77,594.4,603.94,676.53,1194922.047
195.41,439.54,339.78,543.17,154178.6865
377.04,729.56,663.52,462.09,582880.042
727.63,329.33,130.5,751.45,547227.1169
848.64,805.27,622.86,452.95,1108597.379
479.6,848.76,484.91,441.39,465595.2581
270.22,323.88,882.13,866.03,852038.2153
293.15,285.16,266.2,182.42,156981.7825
388.57,568.86,756.4,301.2,723428.8049
160.47,284.52,941.17,907.83,912459.4198
590.3,665.49,900.69,583.91,1160280.476
934.6,738.23,800.06,279.93,1513853.094
651.69,414.82,854.43,988.24,1155738.721
326.08,907.5,362.82,853.52,238820.0388
166.88,649.94,928.2,816.98,890221.1544
788.33,599.62,415.13,983.9,794781.0058
840.27,375.38,648.71,686.59,1127564.927
743.09,176.18,786.38,693.82,1171270.073
962.57,648.23,805.39,456.87,1575650.927
611.79,982.4,940.78,404.32,1259758.333
527.54,226.71,512.09,303.99,540838.6097
666.06,454.53,209.09,123.35,487477.9017
877.04,733.58,234.04,567.04,824540.9232
711.94,799.71,779.02,897.91,1114628.634
590.27,843.9,876.11,993.45,1116980.855
781.39,684.34,273.73,111.85,685610.295
206.56,647.31,511.52,176.85,304496.594
641.25,221.61,503.75,801.63,665767.255
389.29,329.61,979.17,373.06,1110693.653
843.83,902.69,649.14,184.59,1133616.399
396.98,379.18,986.42,445.5,1131063.037
694.67,670.18,922.03,105,1332810.73
761.02,890.69,616.04,343,958999.722
897.46,787.63,820.07,944.53,1478893.787
856.25,902.36,170.3,451.36,762617.5125
310.75,386.09,528.63,696.72,376711.9594
738.68,686.99,882.73,767.22,1325627.615
895.63,367.92,210.72,189.27,846745.2853
101.22,975.08,227.14,693.05,62531.118
948.33,310.76,175.21,489.06,930517.393
548.07,845.32,461.87,173.64,513878.2618
521.27,710.25,720.29,630.33,791170.427
369.05,516.53,357.07,528.47,264225.3574
749.64,231.98,559.68,375.08,875576.912
223.75,587.91,883.15,817.07,830835.055
809.41,528.29,931.97,751.62,1524464.249
340.77,802.11,492.18,105.11,358470.4553
840.19,319.77,656.47,223.51,1137095.607
663.36,855.18,674.53,929.29,895966.5005
402.44,743.3,618.85,964.49,545897.7661
522.13,720.16,855.57,943.23,1005562.992
178.69,308.59,574.08,719.72,362217.6825
112.89,656.7,517.61,470.67,281134.9342
429.35,664.4,267.55,416.93,256341.355
